MAPID,MAP,Str,場所ID,地名,室内外,プロンプト,ネガティブ,備考
,,6014,,命蓮寺方丈,indoor,%和室%,,
,,6015,,墓地,,"buddhism, Graveyard, tombstones",,
,,6016,,聖徳道場,indoor,Virgin dojo,,
,,6016,,神霊廟広場,,"open field,large temple gate,chinese architecture,taoist,stone floor, yellow roof",,
,,6017,,神霊廟道場,indoor,%和室%,,
,,6021,,広場,,"Square,countryside, (traditional japanese houses:0.8)",,
,,6022,,商家町,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8),houses with white wall",,
,,6023,,呑屋小道,,"entertainment district, Taisho period,Showa era,(traditional japanese houses:0.8)",,
,,6024,,寺子屋,indoor,%和室%,,
,,6025,,大衆浴場,indoor,"sento,public bathhouse,wooden,steam",,
,,6026,,連れ込み宿,indoor,%和室%,,
,,6027,,長屋街,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
,,6028,,大衆浴場,indoor,Public bath,,
,,6029,,名家の屋敷,indoor,The residence of a famous family,,
,,6031,,霧の湖,,"large lake ,Horizon,foggy landscape,fog",,
,,6032,,氷のかまくら,,"remaining snow,igloo,snow igloo,green grass",,
,,6033,,廃洋館,indoor,%洋室%,,
,,6034,,正門,,"Main gate,fence,In front of the gate,castle gate,red mansion",,
,,6035,,広間,indoor,"hall,red floor",,
,,6036,,食堂,indoor,"dining room,dining table,tablecloth,red floor",,
,,6037,,大図書館,indoor,"Large library, red floor",,
,,6038,,地下室,indoor,"Basement,dark scene",,
,,6041,,竹林入り口,,Bamboo forest entrance,,
,,6042,,迷いの小道,,"Bamboo forest,A hesitation path",,
,,6043,,斜角の竹林,,Bamboo forest at the oblique angle,,
,,6044,,兎の洞穴,indoor,"in cave,Rabbit cave",,
,,6045,,永遠亭,indoor,%和室%,,
,,6046,,無名の丘,,"outdoors,lily of the valley flower field",,
,,6047,,太陽の畑,,"outdoors,sunflower field",,
,,6048,,永遠亭奥ノ院,indoor,%和室%,,
,,6049,,夢幻館,indoor,%洋室%,,
,,6051,,森の入り口,,"outdoors,Forest entrance",,
,,6052,,香霖堂,indoor,"in junk shop,day,antique store , variety store",,
,,6053,,古木の大樹,,"outdoors,Old tree big tree",,
,,6054,,霧雨魔法店,indoor,"in junk shop,antique store , variety store",,
,,6055,,人形の洋館,indoor,%洋室%,,
,,6056,,再思の道,,"outdoors,red spider lily flower field",,
,,6057,,無縁塚,,"outdoors,red spider lily flower field,Devastated land,Landscape with a frightening atmosphere,rocks","tree,grass",
,,6061,,中有の道,,Road in the middle,,
,,6062,,三途の川,,"Styx, river, in a boat",,
,,6063,,マヨヒガ,indoor,%和室%,,
,,6064,,彼岸,,"The chair in which King Enma sits is a traditional high-backed armchair, which is designed with a notably elevated backrest. The design of the chair is luxurious, indicative of authority and is adorned with decorations. The seating area is covered with fabric or cushioning, considering comfort for extended periods.,The desk before him is square-shaped and sturdily built, with a broad working surface suitable for spreading out documents and ledgers.",,
,,6065,,白玉楼庭,,"A traditional Japanese garden, with white gravel spread out and well-maintained shrubs lined up.",,
,,6066,,白玉楼,indoor,%和室%,,
,,6067,,地獄,,"view of hell ,lava, fire",,
,,6068,,畜生界,,"science fiction,  cyberpunk , skyscrapers,neon lights,growing",,
,,6069,,霊長園,,"future,virtual space, holograms,neon lights,growing",,
,,6071,,麓の樹海,,in the forest,,
,,6072,,玄武の沢,,"outdoors,tree,river",,
,,6073,,大蝦蟇の池,,Pond in forest,,
,,6074,,正邪の隠れ家前,,In front of the hideaway,,
,,6075,,仙人の屋敷,indoor,%和室%,,
,,6076,,間欠泉地下センター,indoor,"Underground Nuclear Fusion Institute,fusion reactor",,
,,6077,,森の深奥,,Deep in the forest,,
,,6081,,九天の滝,,"(extreme majestic waterfalls:1.1),cliff",,
,,6082,,絶景の丘,,Hill of a superb view,,
,,6083,,山の湖,,Mountain lake,,
,,6084,,守矢神社境内,,Moriya Shrine precincts,,
,,6085,,守矢神社本殿,,Moriya Shrine main shrine,,
,,6086,,虹龍洞,indoor,"in the cave, ore mine",,
,,6089,,天界,,"Heaven, above the clouds",,
,,6091,,幻想風穴,indoor,"in cave,dark scene",,
,,6092,,地獄の深道,indoor,"in cave,dark scene",,
,,6093,,旧地獄街道,indoor,"outdoor,In the streets of Edo,Lots of dimly glowing lanterns","door,bed,sheet,pillow",
,,6094,,旧地獄温泉,indoor,Former Hell Hot Spring,,
,,6095,,ラブホ,indoor,"love hotel,hotel room,bed sheet",,
,,6096,,地霊殿,indoor,%洋室%,,
,,6097,,灼熱地獄跡,indoor,"hell, mantle, lava,lava sea",,
,,6101,,槐安通路,indoor,"in the space, stars,(nebula:0.8)",,
,,6105,,月の都,,"outdoors,Ancient Chinese capital city streets,night sky,stars,Imperial Palaces of the Ming and Qing Dynasties",,
,,6106,,綿月亭,indoor,%和室%,,
,,6107,,玉兎の街,,"outdoors,Ancient Chinese capital city streets,World Heritage,night sky,stars",,
,,6108,,桃林~砂浜,,"outdoors,peach orchard,fruit garden,fruit tree,(peach:1.1),sand ground,night sky,stars",,
,,6109,,静かの海,,"sea,horizon,sand,stars,night sky","(wave,cloud:1.2),tree,grass",
,,8001,,鳥居,,"torii, countryside, hakurei shrine ",,
,,8002,,境内,,"Precincts, countryside, hakurei shrine,cobblestone",,
,,8003,,賽銭箱,,"Offering Box,shimenawa,bell,hakurei shrine  ,shrine office ,wooden stairs",,
,,8004,,本堂,indoor,"Main hall, countryside, hakurei shrine ",,
,,8005,,手水舎,,"Precincts, countryside, hakurei shrine",,
,,8006,,物置,indoor,%木造の小部屋%,,
,,8007,,土間,,%土間%,,
,,8008,,台所,indoor,%土間の台所%,,
,,8009,,居間,indoor,"living room,tatami",modern,
,,8010,,縁側,,"porch,veranda,shouji,wooden floor, countryside","fence,chair,table",
,,8011,,庭,outdoor,"Japanese garden, countryside, hakurei shrine ",,
,,8012,,脱衣所,indoor,"Dressing room, hakurei shrine ",window,
,,8013,,風呂,indoor,%昔の風呂%,🚿,
,,8014,,トイレ,indoor,%昔のトイレ%,,
,,8015,,霊夢私室,indoor,%和室%,,
,,8016,,ボロ小屋,indoor,in Ragged hut,,
,,8017,,小さい納戸,indoor,%木造の小部屋%,,
,,8018,,押入れ,indoor,%木造の小部屋%,,
,,8019,,大きい納戸,indoor,%木造の小部屋%,,
,,8020,,本殿の裏,,"outdoors,bare soil ground,open area surrounded by forest,(Exterior of old wooden house:0.8),tree",,
,,8021,,守矢神社分社,,"a small shrine,stone floor,cobblestone road,(stone lantern:0.8),tree",,
,,8022,,参道,,"very long stone stairs ,steep stairs,cobblestone, forest",,
,,8023,,温泉・脱衣所,,Hot spring / dressing room,,
,,8024,,温泉,,"hot spring,open-air bath,rocks,hot water,steam,foggy,tree",,
,,8025,,鎮守の森,,Guardian forest,,
,,8026,,三妖精の家・入口,indoor,"natural wodden house, simple interior, hall",,
,,8027,,三妖精の家・広間,indoor,"natural wodden house, simple interior, hall",,
,,8028,,三妖精の家・階段,indoor,"natural wodden house, simple interior, Stairs",,
,,8029,,三妖精の家・台所,indoor,"natural wodden house, simple interior, Kitchen",,
,,8030,,三妖精の家・風呂,indoor,"natural wodden house, simple interior, bath",,
,,8031,,三妖精の家・二階廊下,indoor,"natural wodden house, simple interior, corridor",,
,,8032,,サニー私室,indoor,girl's room,,
,,8033,,ルナ私室,indoor,girl's room,,
,,8034,,スター私室,indoor,girl's room,,
,,8035,,三妖精の家・地下室,indoor,"natural wodden house, simple interior, basement",,
,,8036,,夢幻遺跡前,,"Mysterious futuristic architecture ,ufo,in forest",,
,,8037,,夢幻遺跡・一階通路,indoor,Inside a science fiction-like spaceship,,「SFのような宇宙船の内装」
,,8038,,夢幻遺跡・洗面所,indoor,"Inside a science fiction-like spaceship,washroom",,
,,8039,,夢幻遺跡・浴室,indoor,"Inside a science fiction-like spaceship,bath",,
,,8040,,夢幻遺跡・トイレ,indoor,"Inside a science fiction-like spaceship,toilet",,
,,8041,,夢幻遺跡・食堂兼談話室,indoor,"Inside a science fiction-like spaceship, Cafeteria and Lounge Room",,
,,8042,,夢幻遺跡・調理室,indoor,"Inside a science fiction-like spaceship, Cooking Room",,
,,8043,,夢美私室,indoor,%洋室%,,
,,8044,,ちゆり私室,indoor,%洋室%,,
,,8045,,夢幻遺跡・階段,indoor,"Inside a science fiction-like spaceship, Stairs",,
,,8046,,夢幻遺跡・二階通路,indoor,"Inside a science fiction-like spaceship, Passage",,
,,8047,,夢幻遺跡・艦橋,indoor,"Inside a science fiction-like spaceship, Bridge",,
,,8048,,夢幻遺跡・第一資料室,indoor,"Inside a science fiction-like spaceship, Documents Room",,
,,8049,,夢幻遺跡・研究室,indoor,"Inside a science fiction-like spaceship,Laboratory",,
,,8050,,夢幻遺跡・第二資料室,indoor,"Inside a science fiction-like spaceship,Archives",,
,,8051,,夢幻遺跡・倉庫,indoor,"Inside a science fiction-like spaceship, Warehouse",,
,,8052,,離れ,indoor,%木造の小部屋%,,
,,8053,,納戸,indoor,%木造の小部屋%,,
,,8054,,小人の虫かご,indoor,Mominus bug basket,,
,,8055,,和室,indoor,%和室%,,
,,8056,,あうんの棲家,,in bush,,
1,MAP寺,8101,101,山門,,the main gate of a Buddhist temple,,
1,MAP寺,8102,102,境内,,"temple precincts,stone floor,cobblestone,countryside,shrub,stone lantern",,
1,MAP寺,8103,103,本堂,indoor,%和室%,,
1,MAP寺,8104,104,講堂,indoor,%和室%,,
1,MAP寺,8105,105,経蔵,indoor,"The scripture repository, adorned with oriental-style carved wooden shelves, holds ancient Buddhist scrolls and texts, reflecting a tranquil and historical ambiance",,
1,MAP寺,8106,106,裏庭,,"temple precincts,countryside,shrub,stone lantern",,
1,MAP寺,8107,107,土間,indoor,%土間%,,
1,MAP寺,8108,108,居間,indoor,"tatami,living room",,
1,MAP寺,8109,109,女苑私室,indoor,%和室%,,
1,MAP寺,8110,110,縁側,,"porch,veranda,shouji,wooden floor, countryside","fence,chair,table",
1,MAP寺,8111,111,台所,indoor,%土間の台所%,,
1,MAP寺,8112,112,風呂,indoor,%昔の風呂%,,
1,MAP寺,8113,113,ナズーリン私室,indoor,%和室%,,
1,MAP寺,8114,114,ムラサ私室,indoor,%和室%,,
1,MAP寺,8115,115,星私室,indoor,%和室%,,
1,MAP寺,8116,116,一輪私室,indoor,%和室%,,
1,MAP寺,8117,117,ぬえ私室,indoor,%和室%,,
1,MAP寺,8118,118,白蓮私室,indoor,%和室%,,
1,MAP寺,8119,119,離れ,indoor,%和室%,,
1,MAP寺,8120,120,物置,indoor,%木造の小部屋%,,
1,MAP寺,8121,121,墓地,,Graveyard,,
1,MAP寺,8122,122,鐘楼,,"Buddhist bell, hanging bell in temple",,
1,MAP寺,8123,123,霊廟大門,,"open field,large temple gate,chinese architecture,taoist,stone floor, yellow roof",,
1,MAP寺,8124,124,霊廟広場,,"open field,large temple gate,chinese architecture,taoist,stone floor, yellow roof",,
1,MAP寺,8125,125,屠自古私室,indoor,%和室%,,
1,MAP寺,8126,126,道場,indoor,%和室%,,
1,MAP寺,8127,127,布都私室,indoor,%和室%,,
1,MAP寺,8128,128,神子私室,indoor,%和室%,,
1,MAP寺,8129,129,客間,indoor,%和室%,,
1,MAP寺,8130,130,廊下,indoor,"wooden floor,corridor,shouji",,
1,MAP寺,8131,131,枯山水,,"A serene Zen garden, meticulously raked with white gravel symbolizing a tranquil sea. Amidst this sea, several large, irregularly shaped rocks emerge like islands, surrounded by small patches of vibrant green moss. The garden is enclosed by a low, unobtrusive fence, and the background is sparse, emphasizing a natural, minimalist landscape.",,だめでした
1,MAP寺,8132,132,調薬室,indoor,%和室%,,
1,MAP寺,8133,133,湯殿,indoor,%昔の風呂%,,
1,MAP寺,8134,134,蔵,indoor,%木造の小部屋%,,
1,MAP寺,8135,135,廊下,indoor,"wooden floor,corridor,shouji",,
1,MAP寺,8136,136,響子私室,indoor,%和室%,,
1,MAP寺,8137,137,マミゾウの棲家,indoor,%和室%,,
1,MAP寺,8138,138,鐘楼,indoor,"Buddhist bell, hanging bell in temple",,
1,MAP寺,8139,139,邪仙楼,indoor,%和室%,,
1,MAP寺,8140,140,お地蔵通り,,"stone floor,cobblestone road,Jizo statues lined up",,
2,2,8201,201,人里の門,,Gates of the village,,
2,2,8202,202,中央広場,,"Central square, Taisho period,Showa era ,cobblestone",one-point perspective,
2,2,8203,203,南通り,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8204,204,東通り,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8205,205,北通り,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8206,206,西通り,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8207,207,龍神像,,Ryujin statue,,
2,2,8208,208,雷鼓の部屋,indoor,%和室%,,
2,2,8209,209,八橋の部屋,indoor,%和室%,,
2,2,8210,210,弁々の部屋,indoor,%和室%,,
2,2,8211,211,酒屋,indoor,in Liquor store,,
2,2,8212,212,カフェ,indoor,in Cafe,,
2,2,8213,213,鈴奈庵,indoor,"in book store,wooden counter,wooden floor",,
2,2,8214,214,長屋前,,"main street, Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8215,215,花屋,indoor,Florist,,
2,2,8216,216,食料品店,indoor,grocery store,,
2,2,8217,217,甘味所,indoor,"in Japanese cafe,Japanese sweets' parlor",,
2,2,8218,218,小料理屋,indoor,in Small restaurant,,
2,2,8219,219,集会所,indoor,%和室%,,
2,2,8220,220,物見櫓,,"Overhead view of the town,Central square,Taisho period,Showa era,(traditional japanese houses:0.8)",,
2,2,8221,221,稗田邸,indoor,%和室%,,
2,2,8222,222,寺子屋,indoor,%和室%,,
2,2,8223,223,銭湯,indoor,japanese Public bath,,
2,2,8224,224,慧音宅,indoor,%和室%,,
2,2,8225,225,連れ込み宿,indoor,%和室%,,
2,2,8226,226,小鈴私室,indoor,%和室%,,
2,2,8227,227,八百屋,indoor,Greengrocer,,
2,2,8228,228,貸切浴場,indoor,Private bath,,
2,2,8229,229,阿求私室,indoor,%和室%,,
2,2,8230,230,空き部屋,indoor,%和室%,,
2,2,8231,231,蛮奇の部屋,indoor,%和室%,,
2,2,8232,232,蓮子の部屋,indoor,%和室%,,
2,2,8233,233,メリーの部屋,indoor,%和室%,,
2,2,8234,234,ユキの部屋,indoor,%和室%,,
2,2,8235,235,マイの部屋,indoor,%和室%,,
2,2,8236,236,共同便所,indoor,"public restroom,toilet stall, urinal,doors",,
2,2,8237,237,共同井戸,,"old well,,water well,circularly stacked stones,hand-operated pump",,
2,2,8238,238,鯢呑亭,indoor,"tavern, wooden counter",,
2,2,8239,239,美宵の部屋,indoor,%和室%,,
2,2,8241,241,空き部屋,indoor,%和室%,,
2,2,8280,280,警察署,indoor,Police station,,
2,2,8281,281,小兎姫私室,indoor,%和室%,,
3,MAP湖,8301,301,正門,,"Main gate,fence,In front of the gate,castle gate,red mansion",,
3,MAP湖,8302,302,庭,,garden,,
3,MAP湖,8303,303,守衛小屋,indoor,in Guide hut,,
3,MAP湖,8304,304,空き小屋,indoor,%木造の小部屋%,,
3,MAP湖,8305,305,納屋,indoor,%木造の小部屋%,,
3,MAP湖,8306,306,裏庭,,backyard,,
3,MAP湖,8307,307,東テラス,,Terrace of mansion,,
3,MAP湖,8308,308,西テラス,,Terrace of mansion,,
3,MAP湖,8309,309,広間,indoor,"hall,red floor",,
3,MAP湖,8310,310,図書館,indoor,"Large library, red floor",,
3,MAP湖,8311,311,パチュリー私室,indoor,%洋室%,,
3,MAP湖,8312,312,小悪魔私室,indoor,%洋室%,,
3,MAP湖,8313,313,厨房,indoor,"commercial kitchen, antique kitchen",,
3,MAP湖,8314,314,食堂,indoor,"dining room,dining table,tablecloth,red floor",,
3,MAP湖,8315,315,応接間,indoor,"parlor,sofa,red floor",,
3,MAP湖,8316,316,一階トイレ,indoor,toilet,,
,,8317,,大階段,indoor,"Large stairs,red carpet",,
,,8318,,地下階段,indoor,Underground stairs,,
3,MAP湖,8319,319,二階廊下,indoor,"corridor,red floor",,
3,MAP湖,8320,320,咲夜私室,indoor,%洋室%,,
3,MAP湖,8321,321,空き部屋,indoor,%洋室%,,
3,MAP湖,8322,322,二階トイレ,indoor,toilet,,
3,MAP湖,8323,323,メイド妖精詰め所,indoor,%洋室%,,
3,MAP湖,8324,324,大バルコニー,,Large balcony of mansion,,
,,8325,,三階階段,indoor,"Large stairs,red carpet",,
3,MAP湖,8326,326,レミリア私室,indoor,%洋室%,,
3,MAP湖,8327,327,小バルコニー,,balcony of mansion,,
3,MAP湖,8328,328,地下廊下,indoor,Underground corridor,(window:1.1),
3,MAP湖,8329,329,倉庫,indoor,Warehouse,(window:1.1),
3,MAP湖,8330,330,使用人部屋,indoor,"bedroom,stone wall,Ceiling light","(window,curtain:2)",
3,MAP湖,8331,331,地下室,indoor,Basement,(window:1.1),
3,MAP湖,8332,332,脱衣所,indoor,sink room,(window:1.1),
3,MAP湖,8333,333,大浴場,indoor,Public bath,(window:1.1),
,,8334,,廃洋館・入り口,indoor,"abandoned mansion, Entrance",,
,,8335,,廃洋館・広間,indoor,"abandoned mansion, in hall",,
,,8336,,廃洋館・階段,indoor,"abandoned mansion, Stairs",,
,,8337,,廃洋館・キッチン,indoor,"abandoned mansion, Kitchen",,
,,8338,,廃洋館・風呂,indoor,"abandoned mansion, Bath",,
,,8339,,廃洋館・二階廊下,indoor,"abandoned mansion, corridor",,
3,MAP湖,8340,340,ルナサ私室,indoor,girl's room,,
3,MAP湖,8341,341,メルラン私室,indoor,girl's room,,
3,MAP湖,8342,342,リリカ私室,indoor,girl's room,,
3,MAP湖,8343,343,湖畔,,Lake shores,,
3,MAP湖,8344,344,レティのかまくら,indoor,"remaining snow,igloo,snow igloo",,
3,MAP湖,8345,345,チルノのかまくら,indoor,"remaining snow,igloo,snow igloo",,
3,MAP湖,8346,346,大妖精宅,indoor,girl's room,,
3,MAP湖,8347,347,霧の湖,,"large lake ,Horizon,foggy landscape,fog",,
,,8348,,霧の湖・湖底,indoor,underwater,,
4,MAP竹林,8401,401,永遠亭入口,,Eiyo -tei entrance,,
,,8402,,永遠亭玄関,indoor,Ei Tou -tei entrance,,
4,MAP竹林,8403,403,待合室,indoor,waiting room,,
4,MAP竹林,8404,404,診察室,indoor,Examination room,,
4,MAP竹林,8405,405,調剤室,indoor,Dispensing room,,
4,MAP竹林,8406,406,来客用トイレ,indoor,Customer toilet,,
4,MAP竹林,8407,407,廊下,indoor,"corridor,wooden floor,japanese architecture",,
4,MAP竹林,8408,408,中廊下,indoor,"corridor,wooden floor,japanese architecture",,
4,MAP竹林,8409,409,縁側,,"porch,veranda,shouji,wooden floor, countryside,bamboo","fence,chair,table",
4,MAP竹林,8410,410,てゐ私室,indoor,%和室%,,
4,MAP竹林,8411,411,鈴仙私室,indoor,%和室%,,
4,MAP竹林,8412,412,空き部屋,indoor,%木造の小部屋%,,
4,MAP竹林,8413,413,永琳私室,indoor,%和室%,,
4,MAP竹林,8414,414,輝夜私室,indoor,%和室%,,
4,MAP竹林,8415,415,広間,indoor,%和室%,,
4,MAP竹林,8416,416,居間,indoor,%和室%,,
4,MAP竹林,8417,417,台所,indoor,%土間の台所%,,
4,MAP竹林,8418,418,厠,indoor,Japanese-style toilet,,
4,MAP竹林,8419,419,脱衣所,indoor,%洗面脱衣室%,,
4,MAP竹林,8420,420,風呂,indoor,%昔の風呂%,,
4,MAP竹林,8421,421,庭,,"Japanese garden, countryside, bamboo",,
4,MAP竹林,8422,422,裏庭,,"Japanese garden, countryside, bamboo",,
,,8423,,納戸,indoor,"Storage room,wooden floor,japanese architecture",,
4,MAP竹林,8424,424,物置,indoor,"Storeroom,wooden floor,japanese architecture",,
,,8425,,二階階段,indoor,"stairs,wooden floor,japanese architecture",,
4,MAP竹林,8426,426,二階廊下,indoor,"corridor,wooden floor,japanese architecture",,
4,MAP竹林,8427,427,倉庫,indoor,"Storeroom,wooden floor,japanese architecture",,
4,MAP竹林,8428,428,二階空き部屋,indoor,%和室%,,
,,8429,,地下階段,indoor,"Underground stairs,japanese architecture",,
4,MAP竹林,8430,430,地下室,indoor,"Basement,japanese architecture",(window:1.1),
4,MAP竹林,8431,431,兎の洞穴,indoor,In Rabbit cave,,
4,MAP竹林,8432,432,影狼の家,indoor,%和室%,,
4,MAP竹林,8433,433,斜角の竹林,,Bamboo forest at the oblique angle,,
4,MAP竹林,8434,434,迷いの小道,,"Bamboo forest,A hesitation path",,
4,MAP竹林,8435,435,井戸,,"old well,water well,circularly stacked stones,wooden bucket,in bamboo forest",,
4,MAP竹林,8436,436,無名の丘,,"outdoors,lily of the valley flower field",,季節はずれのときはどうするか
4,MAP竹林,8437,437,メディスンの家,indoor,girl's room,,
4,MAP竹林,8438,438,太陽の畑,,"outdoor,In the sunflower field,(((sunflower)))","door,bed,sheet,pillow",季節はずれのときはどうするか
4,MAP竹林,8439,439,ラルバの家,indoor,"in cave, furniture made of wood and leaves",,
4,MAP竹林,8440,440,廃屋,indoor,in Abandoned japanese house,,
4,MAP竹林,8441,441,温泉,,"hot spring,open-air bath,rocks,hot water,steam,foggy,bamboo",,
4,MAP竹林,8442,442,空き小屋,indoor,%木造の小部屋%,,
4,MAP竹林,8443,443,ミスティアの家,indoor,%和室%,,
4,MAP竹林,8444,444,夜雀の屋台,,food stall in bamboo forest,,
4,MAP竹林,8445,445,妹紅の家,indoor,%和室%,,
4,MAP竹林,8446,446,祠,,a small shrine in bamboo forest,,
4,MAP竹林,8447,447,竹林入口,,Bamboo forest entrance,,
,,8448,,竹林の外,,Outside of bamboo grove,,
4,MAP竹林,8450,450,玄関,indoor,entrance,,
4,MAP竹林,8451,451,くるみ私室,indoor,girl's room,,
4,MAP竹林,8452,452,エリー私室,indoor,girl's room,,
4,MAP竹林,8453,453,ダイニング,indoor,dining room with a kitchen,,
4,MAP竹林,8454,454,バス,indoor,antique bath,,
4,MAP竹林,8455,455,トイレ,indoor,toilet,,
4,MAP竹林,8456,456,倉庫,indoor,Warehouse,,
4,MAP竹林,8457,457,夢月私室,indoor,private room,,
4,MAP竹林,8458,458,廊下,indoor,corridor,,
4,MAP竹林,8459,459,幻月私室,indoor,private room,,
4,MAP竹林,8460,460,空き部屋,indoor,Vacant room,,
4,MAP竹林,8461,461,リビング,indoor,living room,,
4,MAP竹林,8462,462,テラス,,terrace,,
4,MAP竹林,8463,463,幽香私室,indoor,private room,,
4,MAP竹林,8464,464,バルコニー,,balcony,,
4,MAP竹林,8465,465,ホール,indoor,hall,,
4,MAP竹林,8466,466,庭,,garden,,
,,8467,,竹林の外,,Outside of bamboo grove,,
5,MAP森,8501,501,魔法の森入り口,,"outdoors,Forest entrance",,
5,MAP森,8502,502,香霖堂,indoor,"in junk shop,day,antique store , variety store",,
5,MAP森,8503,503,分かれ道,,in the forest,,
5,MAP森,8506,506,無縁塚,,"outdoors,red spider lily flower field,Devastated land,Landscape with a frightening atmosphere,rocks","tree,grass",
5,MAP森,8507,507,キノコ群生地,,"Mushroom group,in the forest",,
5,MAP森,8508,508,魔法の広場,,in the forest,,
5,MAP森,8509,509,再思の道,,"outdoors,red spider lily flower field",,
5,MAP森,8510,510,霧雨魔法店,indoor,"in junk shop,antique store , variety store",,
,,8511,,魔理沙宅・居間,indoor,living room,,
,,8512,,魔理沙宅・寝室,indoor,girl's room,,
,,8513,,魔理沙宅・研究部屋,indoor,Marisa House / Research Room,,
,,8514,,魔理沙宅・風呂,indoor,%昔の風呂%,,
,,8515,,魔理沙宅・倉庫,indoor,%木造の小部屋%,,
5,MAP森,8520,520,人形の館前,,exterior of House of Wizard in forest,,
,,8521,,人形の館・アリスの部屋,indoor,private room,,
,,8522,,人形の館・神綺の部屋,indoor,private room,,
,,8523,,人形の館・夢子の部屋,indoor,private room,,
,,8524,,人形の館・研究室,indoor,Doll House / Laboratory,,
